# KaDE -l 6 --count Occurrences kappa/ode.4.12.4.ka --output kappa/ode.4.12.4 --output-plot ../data/ode.4.12.4.data
# [T] mono dimer q1 q2 
5.320000 1.694254 2.152873 1.000000 1.000000 
5.330000 1.694254 2.152873 1.000000 1.000000 
5.340000 1.694254 2.152873 1.000000 1.000000 
5.350000 1.694254 2.152873 1.000000 1.000000 
5.360000 1.694254 2.152873 1.000000 1.000000 
5.370000 1.694254 2.152873 1.000000 1.000000 
5.380000 1.694254 2.152873 1.000000 1.000000 
5.390000 1.694254 2.152873 1.000000 1.000000 
5.400000 1.694254 2.152873 1.000000 1.000000 
5.410000 1.694254 2.152873 1.000000 1.000000 
5.420000 1.694254 2.152873 1.000000 1.000000 
5.430000 1.694254 2.152873 1.000000 1.000000 
5.440000 1.694254 2.152873 1.000000 1.000000 
5.450000 1.694254 2.152873 1.000000 1.000000 
5.460000 1.694254 2.152873 1.000000 1.000000 
5.470000 1.694254 2.152873 1.000000 1.000000 
5.480000 1.694254 2.152873 1.000000 1.000000 
5.490000 1.694254 2.152873 1.000000 1.000000 
5.500000 1.694254 2.152873 1.000000 1.000000 
5.510000 1.694254 2.152873 1.000000 1.000000 
5.520000 1.694254 2.152873 1.000000 1.000000 
5.530000 1.694254 2.152873 1.000000 1.000000 
5.540000 1.694254 2.152873 1.000000 1.000000 
5.550000 1.694254 2.152873 1.000000 1.000000 
5.560000 1.694254 2.152873 1.000000 1.000000 
5.570000 1.694254 2.152873 1.000000 1.000000 
5.580000 1.694254 2.152873 1.000000 1.000000 
5.590000 1.694254 2.152873 1.000000 1.000000 
5.600000 1.694254 2.152873 1.000000 1.000000 
5.610000 1.694254 2.152873 1.000000 1.000000 
5.620000 1.694254 2.152873 1.000000 1.000000 
5.630000 1.694254 2.152873 1.000000 1.000000 
5.640000 1.694254 2.152873 1.000000 1.000000 
5.650000 1.694254 2.152873 1.000000 1.000000 
5.660000 1.694254 2.152873 1.000000 1.000000 
5.670000 1.694254 2.152873 1.000000 1.000000 
5.680000 1.694254 2.152873 1.000000 1.000000 
5.690000 1.694254 2.152873 1.000000 1.000000 
5.700000 1.694254 2.152873 1.000000 1.000000 
5.710000 1.694254 2.152873 1.000000 1.000000 
5.720000 1.694254 2.152873 1.000000 1.000000 
5.730000 1.694254 2.152873 1.000000 1.000000 
5.740000 1.694254 2.152873 1.000000 1.000000 
5.750000 1.694254 2.152873 1.000000 1.000000 
5.760000 1.694254 2.152873 1.000000 1.000000 
5.770000 1.694254 2.152873 1.000000 1.000000 
5.780000 1.694254 2.152873 1.000000 1.000000 
5.790000 1.694254 2.152873 1.000000 1.000000 
5.800000 1.694254 2.152873 1.000000 1.000000 
5.810000 1.694254 2.152873 1.000000 1.000000 
5.820000 1.694254 2.152873 1.000000 1.000000 
5.830000 1.694254 2.152873 1.000000 1.000000 
5.840000 1.694254 2.152873 1.000000 1.000000 
5.850000 1.694254 2.152873 1.000000 1.000000 
5.860000 1.694254 2.152873 1.000000 1.000000 
5.870000 1.694254 2.152873 1.000000 1.000000 
5.880000 1.694254 2.152873 1.000000 1.000000 
5.890000 1.694254 2.152873 1.000000 1.000000 
5.900000 1.694254 2.152873 1.000000 1.000000 
5.910000 1.694254 2.152873 1.000000 1.000000 
5.920000 1.694254 2.152873 1.000000 1.000000 
5.930000 1.694254 2.152873 1.000000 1.000000 
5.940000 1.694254 2.152873 1.000000 1.000000 
5.950000 1.694254 2.152873 1.000000 1.000000 
5.960000 1.694254 2.152873 1.000000 1.000000 
5.970000 1.694254 2.152873 1.000000 1.000000 
5.980000 1.694254 2.152873 1.000000 1.000000 
5.990000 1.694254 2.152873 1.000000 1.000000 
6.000000 1.694254 2.152873 1.000000 1.000000 
